1607218041.649217,-0.984863,-0.157715,0.028076
1607218041.669244,-0.985107,-0.158936,0.027344
1607218041.689271,-0.985107,-0.157715,0.028809
1607218041.709299,-0.987793,-0.158936,0.032959
1607218041.729326,-0.988770,-0.159180,0.036133
1607218041.749353,-0.987305,-0.160889,0.036377
1607218041.769380,-0.986572,-0.158447,0.032959
1607218041.789405,-0.987061,-0.156982,0.029785
1607218041.809430,-0.984375,-0.156738,0.027832
1607218041.829456,-0.983887,-0.157715,0.025635
1607218041.849482,-0.986572,-0.160156,0.030762
1607218041.869509,-0.986084,-0.160645,0.033691
1607218041.889536,-0.989014,-0.159912,0.035645
1607218041.909562,-0.987549,-0.159668,0.036133
1607218041.929590,-0.985840,-0.158691,0.031250
1607218041.949616,-0.984863,-0.157959,0.029053
1607218041.969644,-0.983154,-0.157959,0.028076
1607218041.989672,-0.983643,-0.158447,0.028564
1607218042.009699,-0.986084,-0.160156,0.031250
1607218042.029726,-0.987549,-0.159180,0.034424
1607218042.049753,-0.989014,-0.161133,0.035645
1607218042.069780,-0.988770,-0.159424,0.035156
1607218042.089805,-0.987305,-0.158203,0.031494
1607218042.109832,-0.986816,-0.156250,0.028564
1607218042.129858,-0.984131,-0.157471,0.026123
1607218042.149885,-0.984863,-0.159424,0.029053
1607218042.169912,-0.985352,-0.158691,0.032227
1607218042.189940,-0.987549,-0.160645,0.035156
1607218042.209967,-0.987793,-0.159668,0.034668
1607218042.229994,-0.987305,-0.158691,0.034912
1607218042.250022,-0.986572,-0.159180,0.029053
1607218042.270050,-0.986084,-0.156494,0.028076
1607218042.290078,-0.984619,-0.156738,0.025879
1607218042.310105,-0.984863,-0.159424,0.029785
1607218042.330133,-0.986084,-0.159912,0.030762
1607218042.350161,-0.986328,-0.158691,0.033203
1607218042.370187,-0.986328,-0.159668,0.034912
1607218042.390213,-0.987061,-0.158936,0.034424
1607218042.410240,-0.984619,-0.157959,0.031250
1607218042.430267,-0.983643,-0.157471,0.027100
1607218042.450294,-0.984863,-0.159668,0.027832
1607218042.470321,-0.985596,-0.158691,0.030762
1607218042.490348,-0.985596,-0.161133,0.030762
1607218042.510375,-0.986816,-0.159912,0.033447
1607218042.530402,-0.988525,-0.159180,0.035156
1607218042.550428,-0.987793,-0.157471,0.033203
1607218042.570455,-0.986084,-0.156250,0.031494
1607218042.590483,-0.985107,-0.157715,0.029297
1607218042.610511,-0.985352,-0.160156,0.029297
1607218042.630538,-0.984863,-0.159668,0.029785
1607218042.650565,-0.985352,-0.159912,0.033203
1607218042.670592,-0.988037,-0.158936,0.033447
1607218042.690618,-0.989014,-0.159180,0.034424
1607218042.710645,-0.986328,-0.158691,0.031982
1607218042.730672,-0.985840,-0.158691,0.030518
1607218042.750699,-0.983643,-0.158203,0.029297
1607218042.770724,-0.984131,-0.159180,0.028809
